Date,Action,Shares,Balance,Profit,Initial Balance,Final Balance,Total Profit,Percentage Change,Number of Trades,Buy Signals,Sell Signals
2023-07-17 00:00:00,Buy,355.58762413496095,2247.7081901723923,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-07-19 00:00:00,Sell,0.0,2353.077882332838,5.369792160445712,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-07-20 00:00:00,Buy,371.7197863860043,2253.1778823328377,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-07-21 00:00:00,Sell,0.0,2354.2725611399246,1.0947788070867546,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-07-24 00:00:00,Buy,383.76676645406553,2254.3725611399245,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-07-26 00:00:00,Sell,0.0,2355.930320008785,1.5578588688604498,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-07-27 00:00:00,Buy,430.24918256716006,2256.030320008785,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-07-31 00:00:00,Sell,0.0,2365.3002020939907,9.269982085205527,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-08-03 00:00:00,Buy,482.4785575511971,2265.4002020939906,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-08-04 00:00:00,Sell,0.0,2387.002099142491,21.60199704850018,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-08-16 00:00:00,Buy,541.8700375085659,2287.1020991424907,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-08-18 00:00:00,Sell,0.0,2392.72384164763,5.62184250513927,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-08-21 00:00:00,Buy,579.8319110672012,2292.8238416476297,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-08-23 00:00:00,Sell,0.0,2414.962522288421,22.138780640791325,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-08-25 00:00:00,Buy,516.1296377852137,2315.062522288421,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-09-05 00:00:00,Sell,0.0,2422.888511648705,7.826089360284044,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-09-06 00:00:00,Buy,516.0356835456512,2322.988511648705,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-09-07 00:00:00,Sell,0.0,2432.5378979097854,9.54948626108066,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-09-12 00:00:00,Buy,478.7106830608061,2332.6378979097854,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-09-13 00:00:00,Sell,0.0,2435.7765181355608,3.1387202257753586,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-09-21 00:00:00,Buy,609.0384541795214,2335.8765181355607,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-09-22 00:00:00,Sell,0.0,2444.7439113943337,8.867493258773123,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-09-27 00:00:00,Buy,1749.75316539726,2344.8439113943336,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-09-28 00:00:00,Sell,0.0,2476.117317567907,31.27350617357311,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-10-03 00:00:00,Buy,4688.102387044391,2376.217317567907,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-10-05 00:00:00,Sell,0.0,2637.242785057296,161.02556748938926,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-10-06 00:00:00,Buy,2496.208697602556,2537.3427850572957,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-10-09 00:00:00,Sell,0.0,2754.2188534369,116.87616837960451,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-10-10 00:00:00,Buy,1239.8747724403136,2654.3188534369,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-10-11 00:00:00,Sell,0.0,2764.1683920283813,9.849638591481124,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-10-12 00:00:00,Buy,1592.9209637404688,2664.268392028381,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-10-13 00:00:00,Sell,0.0,2791.791800129526,27.52350810114507,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-10-18 00:00:00,Buy,18021.3872256207,2691.891800129526,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-11-22 00:00:00,Sell,0.0,6170.43464032384,3378.5429401943134,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-11-24 00:00:00,Buy,561.182637975857,6070.53464032384,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-11-29 00:00:00,Sell,0.0,6212.329525574915,41.794985251075744,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-11-30 00:00:00,Buy,432.6365925085523,6112.429525574916,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-12-01 00:00:00,Sell,0.0,6231.982387278575,19.552961703659122,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-12-04 00:00:00,Buy,384.65496306916384,6132.082387278575,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-12-07 00:00:00,Sell,0.0,6244.655581657919,12.573294379344361,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-12-08 00:00:00,Buy,378.9951902993732,6144.75558165792,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-12-14 00:00:00,Sell,0.0,6286.627112817424,41.871631159504275,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-12-18 00:00:00,Buy,276.9107664775057,6186.727112817424,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-12-19 00:00:00,Sell,0.0,6288.060524710201,1.3335118927772527,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
